Producto,Cantidad_miércoles_25_marzo,Precio,Cantidad_jueves_26_marzo,Viernes_27_marzo_se_compró,Martes_31_marzo_se_compró,Martes_31_marzo_se_sacó,Cantidad_miércoles_1_abril,Jueves_2_abril_se_compró,Jueves_2_abril_se_sacó,Cantidad_lunes_6_abril
Duvalín avellana vainilla,3,35,0,3,0,0,3,0,0,3
Duvalín avellana fresa,3,35,0,3,0,0,3,0,0,3
Animalitos,1,78,1,0,0,0,0,0,0,0
Aciditos,0,54,0,0,0,0,0,0,0,0
Pelón mini,3,58,3,0,0,0,3,0,0,3
Malvabony,3,86,3,0,0,0,3,0,0,3
Ice,1,149,1,0,0,0,1,0,0,1
Bubbaloo plátano,1,45,1,1,0,0,2,0,0,2
Bubbaloo mora azul,1,45,1,1,0,0,1,0,0,1
Bubbaloo fresa,1,45,1,1,0,0,1,0,0,1
Bubbaloo tuttifruti,1,45,1,1,0,0,1,0,0,1
Bubbaloo piña chamoy,1,45,1,1,0,0,1,0,0,1
Canels original,3,48,3,3,0,0,3,0,0,3
Bianchi amarillo,2,100,2,0,0,0,2,0,0,2
Bianchi café,1,88,1,0,0,0,1,0,0,1
Chocoreta,2,82,2,0,0,0,2,0,0,2
Bubulubu mini,4,92,4,0,0,0,3,0,0,3
Sol taco extremo,13,14,13,0,0,0,6,10,0,12
Sol taco original,6,14,6,0,0,0,0,10,0,2
Solchesitos queso,12,12,12,0,0,0,6,0,0,0
Solchesitos extremo,14,12,13,0,0,0,7,0,0,5
Sol nachos extremo,17,16,17,0,0,2,19,0,2,21
Solchesito dedito,11,10,11,0,0,0,11,0,0,11
Solchesitos dedito,5,10,5,0,0,2,7,0,0,7
Sol salsa negra,7,16,5,0,0,1,6,0,0,3
Sol jalapeño,7,16,7,0,0,3,8,0,10,17
Sol nachos original,4,16,4,0,0,0,2,10,0,8
Sol adobada,5,16,4,7,0,4,7,10,5,18
Sol chipotle,6,16,6,0,0,1,7,0,3,9
Sol extrema,3,16,3,7,0,0,3,0,0,0
Sol habanero,5,16,5,0,0,0,4,0,0,1
Sol limón,4,16,2,7,0,2,8,10,0,9
Sol rifaditas,1,16,1,7,0,0,5,10,0,7
Sol original,2,16,2,8,0,1,7,0,0,0
Top tops moradas,2,15,2,5,0,0,5,10,0,10
Top tops salsa negra,5,15,5,5,0,0,3,10,0,6
