Product,Quantity_Wednesday_25_March,Price,Quantity_Thursday_26_March,Purchased_Friday_27_March,Purchased_Tuesday_31_March,Removed_Tuesday_31_March,Quantity_Wednesday_1_April,Purchased_Thursday_2_April,Removed_Thursday_2_April,Quantity_Monday_6_April,sales_Quantity_Wednesday_25_March_to_Quantity_Thursday_26_March,sales_Quantity_Thursday_26_March_to_Quantity_Wednesday_1_April,sales_Quantity_Wednesday_1_April_to_Quantity_Monday_6_April,Category,purchase_price,price_source,unit_profit,total_sold,total_profit,dormant_capital,no_sales
Malvabony,3,86,3,0,0,0,3,0,0,3,0,0,0,Dulces,74.78,Estimated,11.22,0,0.0,224.34,True
Ice,1,149,1,0,0,0,1,0,0,1,0,0,0,Dulces,129.57,Estimated,19.43,0,0.0,129.57,True
Bubbaloo plátano,1,45,1,1,0,0,2,0,0,2,0,0,0,Dulces,40.2,Ticket,4.8,0,0.0,80.4,True
Bianchi amarillo,2,100,2,0,0,0,2,0,0,2,0,0,0,Dulces,86.96,Estimated,13.04,0,0.0,173.92,True
Bianchi café,1,88,1,0,0,0,1,0,0,1,0,0,0,Dulces,76.52,Estimated,11.48,0,0.0,76.52,True
Chocoreta,2,82,2,0,0,0,2,0,0,2,0,0,0,Dulces,71.3,Estimated,10.7,0,0.0,142.6,True
Sol nachos extremo,17,16,17,0,0,2,19,0,2,21,0,0,0,Botanas,13.91,Estimated,2.09,0,0.0,292.11,True
Solchesito dedito,11,10,11,0,0,0,11,0,0,11,0,0,0,Botanas,8.7,Estimated,1.3,0,0.0,95.7,True
Solchesitos dedito,5,10,5,0,0,2,7,0,0,7,0,0,0,Botanas,8.7,Estimated,1.3,0,0.0,60.9,True
Turín avellana,3,150,3,0,0,0,3,0,0,3,0,0,0,Chocolates,130.43,Estimated,19.57,0,0.0,391.29,True
Turín fresa,1,150,1,0,0,0,1,0,0,1,0,0,0,Chocolates,130.43,Estimated,19.57,0,0.0,130.43,True
Turín original,1,150,1,0,0,0,1,0,0,1,0,0,0,Chocolates,130.43,Estimated,19.57,0,0.0,130.43,True
Giselle 160g 16pz,3,65,3,0,0,0,3,0,0,3,0,0,0,Chocolates,56.52,Estimated,8.48,0,0.0,169.56,True
Giselle 100g,1,44,1,0,0,0,1,0,0,1,0,0,0,Chocolates,38.26,Estimated,5.74,0,0.0,38.26,True
Vallmond corazón mediano 8pz,3,45,3,0,0,0,3,0,0,3,0,0,0,Chocolates,39.13,Estimated,5.87,0,0.0,117.39,True
Colosseo corazón pequeño 31g,2,35,2,0,0,0,2,0,0,2,0,0,0,Chocolates,30.43,Estimated,4.57,0,0.0,60.86,True
Kiss grande 41.5g,3,30,3,0,0,0,3,0,0,3,0,0,0,Chocolates,26.09,Estimated,3.91,0,0.0,78.27,True
Kisses 76g,2,65,2,0,0,0,2,0,0,2,0,0,0,Chocolates,56.52,Estimated,8.48,0,0.0,113.04,True
Picard chocolate tequila,1,72,1,0,0,0,1,0,0,1,0,0,0,Chocolates,62.61,Estimated,9.39,0,0.0,62.61,True
Picard chocolate licor de café,1,72,1,0,0,0,1,0,0,1,0,0,0,Chocolates,62.61,Estimated,9.39,0,0.0,62.61,True
Gatucos 240g,2,110,2,0,0,0,2,0,0,2,0,0,0,Chocolates,95.65,Estimated,14.35,0,0.0,191.3,True
Ferrero 24pz 300g,2,240,2,0,0,0,2,0,0,2,0,0,0,Chocolates,208.7,Estimated,31.3,0,0.0,417.4,True
M&M's 6 pack,1,0,1,0,0,0,1,0,0,1,0,0,0,Chocolates,0.0,Estimated,0.0,0,0.0,0.0,True
