Product,Quantity_Wednesday_25_March,Price,Quantity_Thursday_26_March,Purchased_Friday_27_March,Purchased_Tuesday_31_March,Removed_Tuesday_31_March,Quantity_Wednesday_1_April,Purchased_Thursday_2_April,Removed_Thursday_2_April,Quantity_Monday_6_April,sales_Quantity_Wednesday_25_March_to_Quantity_Thursday_26_March,sales_Quantity_Thursday_26_March_to_Quantity_Wednesday_1_April,sales_Quantity_Wednesday_1_April_to_Quantity_Monday_6_April,Category,purchase_price,price_source,unit_profit,total_sold,total_profit,dormant_capital,no_sales,daily_velocity,recommended_min_stock,needs_restock
Roma 250g,5,11,4,0,0,0,3,20,0,23,1,1,0,Limpieza,8.5,Ticket,2.5,2,5.0,0.0,False,0.17,0.51,False
Blanca Nieves 500g,8,21,8,0,0,0,8,0,0,6,0,0,2,Limpieza,18.26,Estimated,2.74,2,5.48,0.0,False,0.17,0.51,False
Blanca Nieves 250g,10,11,10,0,0,0,10,0,0,10,0,0,0,Limpieza,9.57,Estimated,1.43,0,0.0,95.7,True,0.0,0.0,False
Pétalo 500 hojas 6 rollos,11,58,9,0,0,0,6,0,0,4,2,3,2,Papel,50.43,Estimated,7.57,7,52.99,0.0,False,0.58,1.74,False
Pétalo 400 hojas 4 rollos,8,36,6,0,0,0,6,0,0,6,2,0,0,Papel,31.3,Estimated,4.7,2,9.4,0.0,False,0.17,0.51,False
Pétalo jumbo servitoalla,16,27,15,0,0,0,6,12,0,17,1,9,1,Papel,24.91,Ticket,2.09,11,22.99,0.0,False,0.92,2.76,False
Regio verde 600 hojas 4 rollos,8,38,7,24,24,0,23,0,0,15,1,32,8,Papel,33.04,Estimated,4.96,41,203.36,0.0,False,3.42,10.26,False
Vogue 600 hojas 6 rollos,4,60,4,0,0,0,4,0,0,4,0,0,0,Papel,52.17,Estimated,7.83,0,0.0,208.68,True,0.0,0.0,False
Vogue 600 hojas 4 rollos,18,38,18,0,0,0,16,0,0,12,0,2,4,Papel,33.04,Estimated,4.96,6,29.76,0.0,False,0.5,1.5,False
Vogue 400 hojas 4 rollos,14,34,14,0,0,0,14,0,0,13,0,0,1,Papel,29.57,Estimated,4.43,1,4.43,0.0,False,0.08,0.24,False
Quality 600 hojas 6 rollos,10,50,10,18,0,0,14,0,0,12,0,14,2,Papel,43.48,Estimated,6.52,16,104.32,0.0,False,1.33,3.99,False
Salvo 900ml,3,50,3,0,0,0,3,0,0,3,0,0,0,Limpieza,43.48,Estimated,6.52,0,0.0,130.44,True,0.0,0.0,False
Salvo 500ml,10,30,9,0,0,0,8,0,0,8,1,1,0,Limpieza,26.09,Estimated,3.91,2,7.82,0.0,False,0.17,0.51,False
Salvo 215ml,11,16,11,0,0,0,11,0,0,11,0,0,0,Limpieza,13.91,Estimated,2.09,0,0.0,153.01,True,0.0,0.0,False
Zote 400g,12,20,12,0,0,0,9,0,0,9,0,3,0,Limpieza,17.39,Estimated,2.61,3,7.83,0.0,False,0.25,0.75,False
Poett 900ml,12,20,11,0,0,0,10,0,0,10,1,1,0,Limpieza,17.39,Estimated,2.61,2,5.22,0.0,False,0.17,0.51,False
Pulparindo mini chile,3,40,2,0,0,0,2,0,0,2,1,0,0,Dulces,34.78,Estimated,5.22,1,5.22,0.0,False,0.08,0.24,False
Pulparindo grande chile,3,42,3,3,0,0,3,0,0,3,0,3,0,Dulces,36.9,Ticket,5.1,3,15.3,0.0,False,0.25,0.75,False
Pulparindo original,3,42,2,3,0,0,5,0,0,5,1,0,0,Dulces,36.9,Ticket,5.1,1,5.1,0.0,False,0.08,0.24,False
Huevito,3,62,3,0,0,0,2,0,0,2,0,1,0,Dulces,53.91,Estimated,8.09,1,8.09,0.0,False,0.08,0.24,False
Cangrejo,3,62,3,0,0,0,3,0,0,3,0,0,0,Dulces,53.91,Estimated,8.09,0,0.0,161.73,True,0.0,0.0,False
Pecositas,3,68,3,0,0,0,3,0,0,3,0,0,0,Dulces,59.13,Estimated,8.87,0,0.0,177.39,True,0.0,0.0,False
Winis mini,3,60,3,0,0,0,3,0,0,3,0,0,0,Dulces,52.17,Estimated,7.83,0,0.0,156.51,True,0.0,0.0,False
Winis unicornio,3,32,3,0,0,0,3,0,0,3,0,0,0,Dulces,27.83,Estimated,4.17,0,0.0,83.49,True,0.0,0.0,False
Winis sirena maxi tubo,3,32,2,3,0,0,5,0,0,5,1,0,0,Dulces,26.9,Ticket,5.1,1,5.1,0.0,False,0.08,0.24,False
Winis dragón maxi tubo,3,32,3,3,0,0,3,0,0,3,0,3,0,Dulces,26.9,Ticket,5.1,3,15.3,0.0,False,0.25,0.75,False
Winis paleta unicornio,3,39,3,3,0,0,3,0,0,3,0,3,0,Dulces,33.6,Ticket,5.4,3,16.2,0.0,False,0.25,0.75,False
Frutaffy fresa 24pz,2,30,2,3,0,0,5,0,0,5,0,0,0,Dulces,25.2,Ticket,4.8,0,0.0,126.0,True,0.0,0.0,False
Frutsffy manzana verde 24pz,3,30,2,0,0,0,2,0,0,2,1,0,0,Dulces,26.09,Estimated,3.91,1,3.91,0.0,False,0.08,0.24,False
Astridix 30pz,3,50,1,0,0,0,1,0,0,1,2,0,0,Dulces,43.48,Estimated,6.52,2,13.04,0.0,False,0.17,0.51,False
Tix tix 30pz,3,62,1,0,0,0,1,0,0,0,2,0,1,Dulces,53.91,Estimated,8.09,3,24.27,0.0,False,0.25,0.75,True
Chupa chups mini 8,3,72,2,0,0,0,2,0,0,2,1,0,0,Dulces,62.61,Estimated,9.39,1,9.39,0.0,False,0.08,0.24,False
Lucas gusano 10pz,2,80,2,3,0,0,5,0,0,5,0,0,0,Dulces,71.3,Ticket,8.7,0,0.0,356.5,True,0.0,0.0,False
Monedas nucita 48pz,2,80,2,0,0,0,2,0,0,2,0,0,0,Dulces,69.57,Estimated,10.43,0,0.0,139.14,True,0.0,0.0,False
Jugos sabo 12pz,3,35,3,0,0,0,3,0,0,3,0,0,0,Dulces,30.43,Estimated,4.57,0,0.0,91.29,True,0.0,0.0,False
Mini mamut 28pz,6,52,5,4,0,0,9,0,0,5,1,0,4,Dulces,39.96,Ticket,12.04,5,60.2,0.0,False,0.42,1.26,False
Mac'Ma selecciones,3,80,3,0,0,0,3,0,0,3,0,0,0,Dulces,69.57,Estimated,10.43,0,0.0,208.71,True,0.0,0.0,False
Mac'Ma pícolo,4,48,4,0,0,0,4,0,0,4,0,0,0,Dulces,41.74,Estimated,6.26,0,0.0,166.96,True,0.0,0.0,False
Mac'Ma parisién,3,50,3,0,0,0,3,0,0,3,0,0,0,Dulces,43.48,Estimated,6.52,0,0.0,130.44,True,0.0,0.0,False
Mac'Ma presidente,3,82,3,0,0,0,3,0,0,3,0,0,0,Dulces,71.3,Estimated,10.7,0,0.0,213.9,True,0.0,0.0,False
Mac'Ma abanico,5,60,5,0,0,0,5,0,0,5,0,0,0,Dulces,52.17,Estimated,7.83,0,0.0,260.85,True,0.0,0.0,False
Mac'Ma caja pequeña barquillos,7,30,7,0,0,0,7,0,0,7,0,0,0,Dulces,26.09,Estimated,3.91,0,0.0,182.63,True,0.0,0.0,False
Mac'Ma caja pequeña doncellas,1,30,1,0,0,0,1,0,0,1,0,0,0,Dulces,26.09,Estimated,3.91,0,0.0,26.09,True,0.0,0.0,False
Mac'Ma caja pequeña natta,3,30,3,0,0,0,3,0,0,3,0,0,0,Dulces,26.09,Estimated,3.91,0,0.0,78.27,True,0.0,0.0,False
Mac'Ma caja pequeña fresa,1,30,1,0,0,0,1,0,0,1,0,0,0,Dulces,26.09,Estimated,3.91,0,0.0,26.09,True,0.0,0.0,False
Bocadín 50pz,2,32,2,0,0,0,2,0,0,2,0,0,0,Dulces,27.83,Estimated,4.17,0,0.0,55.66,True,0.0,0.0,False
Luminiscente rojo,1,78,1,0,0,0,1,0,0,1,0,0,0,Dulces,67.83,Estimated,10.17,0,0.0,67.83,True,0.0,0.0,False
Pop trueno,2,42,2,0,0,0,2,0,0,2,0,0,0,Dulces,36.52,Estimated,5.48,0,0.0,73.04,True,0.0,0.0,False
Dartañan,3,68,3,0,0,0,2,0,0,2,0,1,0,Dulces,59.13,Estimated,8.87,1,8.87,0.0,False,0.08,0.24,False
Pica fresa,0,58,0,0,0,0,0,0,0,0,0,0,0,Dulces,50.43,Estimated,7.57,0,0.0,0.0,True,0.0,0.0,False
Mazapán original grande,5,92,5,0,0,0,5,0,0,5,0,0,0,Dulces,80.0,Estimated,12.0,0,0.0,400.0,True,0.0,0.0,False
Mazapan original pequeño,1,40,1,0,0,0,1,0,0,1,0,0,0,Dulces,34.78,Estimated,5.22,0,0.0,34.78,True,0.0,0.0,False
Bombones medianos,5,40,5,0,0,0,4,0,0,4,0,1,0,Dulces,34.78,Estimated,5.22,1,5.22,0.0,False,0.08,0.24,False
Bombones grandes,2,40,2,0,0,0,2,0,0,2,0,0,0,Dulces,34.78,Estimated,5.22,0,0.0,69.56,True,0.0,0.0,False
Bombones enrollados,1,40,1,0,0,0,1,0,0,1,0,0,0,Dulces,34.78,Estimated,5.22,0,0.0,34.78,True,0.0,0.0,False
Bombones fresita,3,40,3,0,0,0,3,0,0,3,0,0,0,Dulces,34.78,Estimated,5.22,0,0.0,104.34,True,0.0,0.0,False
Bombones ositos conejos pollitos,3,40,3,0,0,0,3,0,0,3,0,0,0,Dulces,34.78,Estimated,5.22,0,0.0,104.34,True,0.0,0.0,False
Bombones corazón,2,40,2,0,0,0,2,0,0,2,0,0,0,Dulces,34.78,Estimated,5.22,0,0.0,69.56,True,0.0,0.0,False
Tarrito,2,72,2,0,0,0,2,0,0,2,0,0,0,Dulces,62.61,Estimated,9.39,0,0.0,125.22,True,0.0,0.0,False
Paleta sandía,1,44,1,0,0,0,1,0,0,1,0,0,0,Dulces,38.26,Estimated,5.74,0,0.0,38.26,True,0.0,0.0,False
Paleta Pollito,3,42,3,0,0,0,3,0,0,3,0,0,0,Dulces,36.52,Estimated,5.48,0,0.0,109.56,True,0.0,0.0,False
Paleta coca,4,52,4,0,0,0,4,0,0,4,0,0,0,Dulces,45.22,Estimated,6.78,0,0.0,180.88,True,0.0,0.0,False
Paleta hueso,11,44,11,0,0,0,11,0,0,11,0,0,0,Dulces,38.26,Estimated,5.74,0,0.0,420.86,True,0.0,0.0,False
Kranky,1,92,1,0,0,0,1,0,0,1,0,0,0,Dulces,80.0,Estimated,12.0,0,0.0,80.0,True,0.0,0.0,False
Llaves,2,44,1,0,0,0,0,0,0,0,1,1,0,Dulces,38.26,Estimated,5.74,2,11.48,0.0,False,0.17,0.51,True
Vove,6,35,6,0,0,0,2,0,0,2,0,4,0,Dulces,30.43,Estimated,4.57,4,18.28,0.0,False,0.33,0.99,False
Duvalín fresa vainilla,5,35,2,3,0,0,4,0,0,4,3,1,0,Dulces,28.9,Ticket,6.1,4,24.4,0.0,False,0.33,0.99,False
Duvalín avellana vainilla,3,35,0,3,0,0,3,0,0,3,3,0,0,Dulces,29.0,Ticket,6.0,3,18.0,0.0,False,0.25,0.75,False
Duvalín avellana fresa,3,35,0,3,0,0,3,0,0,3,3,0,0,Dulces,29.0,Ticket,6.0,3,18.0,0.0,False,0.25,0.75,False
Animalitos,1,78,1,0,0,0,0,0,0,0,0,1,0,Dulces,67.83,Estimated,10.17,1,10.17,0.0,False,0.08,0.24,True
Aciditos,0,54,0,0,0,0,0,0,0,0,0,0,0,Dulces,46.96,Estimated,7.04,0,0.0,0.0,True,0.0,0.0,False
Pelón mini,3,58,3,0,0,0,3,0,0,3,0,0,0,Dulces,50.43,Estimated,7.57,0,0.0,151.29,True,0.0,0.0,False
Malvabony,3,86,3,0,0,0,3,0,0,3,0,0,0,Dulces,74.78,Estimated,11.22,0,0.0,224.34,True,0.0,0.0,False
Ice,1,149,1,0,0,0,1,0,0,1,0,0,0,Dulces,129.57,Estimated,19.43,0,0.0,129.57,True,0.0,0.0,False
Bubbaloo plátano,1,45,1,1,0,0,2,0,0,2,0,0,0,Dulces,40.2,Ticket,4.8,0,0.0,80.4,True,0.0,0.0,False
Bubbaloo mora azul,1,45,1,1,0,0,1,0,0,1,0,1,0,Dulces,40.2,Ticket,4.8,1,4.8,0.0,False,0.08,0.24,False
Bubbaloo fresa,1,45,1,1,0,0,1,0,0,1,0,1,0,Dulces,40.2,Ticket,4.8,1,4.8,0.0,False,0.08,0.24,False
Bubbaloo tuttifruti,1,45,1,1,0,0,1,0,0,1,0,1,0,Dulces,40.2,Ticket,4.8,1,4.8,0.0,False,0.08,0.24,False
Bubbaloo piña chamoy,1,45,1,1,0,0,1,0,0,1,0,1,0,Dulces,40.2,Ticket,4.8,1,4.8,0.0,False,0.08,0.24,False
Canels original,3,48,3,3,0,0,3,0,0,3,0,3,0,Dulces,38.25,Ticket,9.75,3,29.25,0.0,False,0.25,0.75,False
Bianchi amarillo,2,100,2,0,0,0,2,0,0,2,0,0,0,Dulces,86.96,Estimated,13.04,0,0.0,173.92,True,0.0,0.0,False
Bianchi café,1,88,1,0,0,0,1,0,0,1,0,0,0,Dulces,76.52,Estimated,11.48,0,0.0,76.52,True,0.0,0.0,False
Chocoreta,2,82,2,0,0,0,2,0,0,2,0,0,0,Dulces,71.3,Estimated,10.7,0,0.0,142.6,True,0.0,0.0,False
Bubulubu mini,4,92,4,0,0,0,3,0,0,3,0,1,0,Dulces,80.0,Estimated,12.0,1,12.0,0.0,False,0.08,0.24,False
Sol taco extremo,13,14,13,0,0,0,6,10,0,12,0,7,4,Botanas,8.7,Ticket,5.3,11,58.3,0.0,False,0.92,2.76,False
Sol taco original,6,14,6,0,0,0,0,10,0,2,0,6,8,Botanas,8.7,Ticket,5.3,14,74.2,0.0,False,1.17,3.51,True
Solchesitos queso,12,12,12,0,0,0,6,0,0,0,0,6,6,Botanas,7.1,Ticket,4.9,12,58.8,0.0,False,1.0,3.0,True
Solchesitos extremo,14,12,13,0,0,0,7,0,0,5,1,6,2,Botanas,7.0,Ticket,5.0,9,45.0,0.0,False,0.75,2.25,False
Sol nachos extremo,17,16,17,0,0,2,19,0,2,21,0,0,0,Botanas,13.91,Estimated,2.09,0,0.0,292.11,True,0.0,0.0,False
Solchesito dedito,11,10,11,0,0,0,11,0,0,11,0,0,0,Botanas,8.7,Estimated,1.3,0,0.0,95.7,True,0.0,0.0,False
Solchesitos dedito,5,10,5,0,0,2,7,0,0,7,0,0,0,Botanas,8.7,Estimated,1.3,0,0.0,60.9,True,0.0,0.0,False
Sol salsa negra,7,16,5,0,0,1,6,0,0,3,2,0,3,Botanas,12.7,Ticket,3.3,5,16.5,0.0,False,0.42,1.26,False
Sol jalapeño,7,16,7,0,0,3,8,0,10,17,0,2,1,Botanas,13.1,Ticket,2.9,3,8.7,0.0,False,0.25,0.75,False
Sol nachos original,4,16,4,0,0,0,2,10,0,8,0,2,4,Botanas,8.2,Ticket,7.8,6,46.8,0.0,False,0.5,1.5,False
Sol adobada,5,16,4,7,0,4,7,10,5,18,1,8,4,Botanas,13.1,Ticket,2.9,13,37.7,0.0,False,1.08,3.24,False
Sol chipotle,6,16,6,0,0,1,7,0,3,9,0,0,1,Botanas,13.1,Ticket,2.9,1,2.9,0.0,False,0.08,0.24,False
Sol extrema,3,16,3,7,0,0,3,0,0,0,0,7,3,Botanas,13.1,Ticket,2.9,10,29.0,0.0,False,0.83,2.49,True
Sol habanero,5,16,5,0,0,0,4,0,0,1,0,1,3,Botanas,13.1,Ticket,2.9,4,11.6,0.0,False,0.33,0.99,False
